MetroArea	Binge	Asthma	HeartAt	Colonosc	Diabetes	PregDaib	PreDia	Disability	Exercise	Coverage	GeneralH	FluShot	Dentist	Teeth	BMI	PSA	Smokers	PAP
Akron,OH	6.5	9.1	3.7	66.1	10.8	0.9	2.1	22.2	77.4	85.0	85.5	60.6	75.6	46.9	38.2	49.7	25.5	79.5
Albuquerque,NM	4.1	9.5	3.4	65.7	7.1	0.8	0.9	22.8	82.0	85.2	83.6	74.0	70.4	39.0	43.3	54.6	19.4	83.6
Allentown,PA	4.4	10.0	4.3	65.7	8.9	0.7	1.6	17.7	73.9	90.5	85.8	70.9	73.9	45.5	37.5	54.6	16.8	83.1
Amarillo,TX	4.2	10.0	5.1	65.8	9.8	0.9	0.8	20.5	75.9	82.7	83.2	75.5	64.2	43.5	35.0	62.9	21.3	78.4
Arcadia,FL	6.7	12.4	8.0	61.6	11.2	1.1	0.7	22.5	64.9	64.7	74.0	67.4	47.1	63.1	32.2	55.0	24.3	75.9
Asheville,NC	3.7	10.7	6.2	68.1	9.8	0.2	1.5	27.6	77.8	81.9	83.6	74.6	68.5	48.4	37.3	61.9	17.4	82.1
Atlanta,GA	4.1	8.9	2.7	69.2	8.7	1.0	1.2	16.7	77.9	84.7	87.1	58.3	70.6	41.3	37.4	59.1	14.9	87.3
AtlanticCity,NJ	5.4	8.3	4.9	61.9	9.0	0.6	1.5	18.1	72.2	87.6	79.9	65.1	71.4	52.7	30.7	57.4	19.4	80.4
Augusta,GA	3.3	9.4	4.8	64.4	9.1	0.7	0.7	19.6	74.1	84.6	83.5	60.6	67.9	47.4	31.1	66.1	19.8	80.4
AugustaME	6.4	11.9	6.1	77.1	7.7	1.8	0.7	23.1	77.7	88.6	86.7	70.4	65.9	50.1	37.1	55.9	20.7	86.5
AustinTX	5.0	7.0	3.0	71.4	5.7	0.7	1.7	17.3	80.7	88.0	86.2	71.1	69.0	39.0	35.9	55.0	10.4	86.5
BaltimoreMD	4.8	8.9	4.3	70.6	9.9	1.0	1.0	20.1	76.0	89.6	86.3	67.5	74.6	41.5	33.5	56.9	17.3	87.2
BangorME	4.9	11.2	4.9	73.1	11.1	1.3	1.8	25.9	75.9	89.8	83.7	73.0	67.6	53.4	31.1	48.8	15.4	82.9
BarreVT	7.3	7.3	2.5	78.4	6.2	0.7	1.4	20.5	83.9	92.0	90.5	77.1	80.7	42.0	41.2	46.0	14.3	84.7
BatonRougeLA	4.9	4.9	4.4	65.6	10.1	0.5	1.6	18.2	74.3	83.9	82.1	64.1	68.7	45.4	35.4	58.8	15.9	86.1
BethesdaMD	5.2	6.4	2.6	75.6	6.0	1.3	1.4	14.3	82.7	89.8	91.1	75.9	81.6	35.1	42.8	61.0	8.4	85.1
BillingsMT	4.1	10.4	5.0	67.3	7.1	0.9	1.5	24.7	76.0	85.8	85.9	70.0	66.3	43.1	35.4	45.9	16.0	81.4
BirminghamAL	6.2	8.3	5.0	66.3	12.4	0.4	1.1	21.4	70.8	82.2	82.3	64.0	66.4	49.7	33.7	58.9	21.2	84.5
BismarckND	3.5	6.3	3.4	64.9	6.0	0.3	0.6	18.4	80.6	92.5	88.1	66.2	73.2	42.7	39.4	53.7	13.9	82.2
BoiseCityID	3.5	10.8	3.7	62.2	7.4	1.3	0.7	23.3	83.4	80.8	84.7	61.6	70.1	38.6	38.0	50.5	15.2	77.1
BostonMA	7.4	9.6	3.8	76.9	7.8	0.8	1.2	15.9	78.5	95.1	89.5	72.3	81.7	38.3	43.2	57.5	14.4	89.4
BremertonWA	5.8	12.2	3.0	72.9	6.7	1.0	1.5	28.8	84.7	88.4	88.8	63.8	73.6	36.0	34.9	49.6	17.0	78.7
BridgeportCT	5.6	8.3	2.2	74.7	6.0	0.8	0.6	14.3	81.2	91.4	90.6	70.7	83.1	35.7	45.6	62.0	10.0	86.4
BuffaloNY	8.7	12.1	5.3	74.8	8.0	0.5	1.3	24.2	76.1	93.0	85.0	65.1	77.2	48.6	37.9	54.7	23.8	84.4
BurlingtonVT	7.5	10.6	3.0	75.5	6.2	0.4	1.0	20.3	86.4	94.3	91.3	74.1	81.8	37.6	42.3	44.7	14.6	82.5
CambridgeMA	5.6	9.9	2.8	76.6	5.8	0.9	1.7	17.1	82.7	97.0	92.1	76.4	82.6	35.3	44.2	57.1	10.7	90.9
CamdenNJ	3.9	10.2	3.9	68.7	9.8	0.8	1.4	19.8	72.8	91.9	85.7	64.9	73.9	45.4	34.7	61.2	18.5	84.7
CantonOH	4.1	7.1	3.9	66.4	8.8	0.8	2.0	23.2	73.4	84.4	84.4	60.8	68.0	45.5	35.4	52.9	23.4	82.8
CapeCoralFL	6.0	13.9	5.8	73.0	8.4	0.1	1.4	28.0	72.1	76.9	83.5	72.7	67.3	52.4	40.0	68.4	27.1	84.0
