State	All	Alc	Brain	Colon	Eso	HL	Kidn	Leuk	Liver	Melan	NHL	Oral	Panc	Stom	Thr	Blad
AL	457.8	138.9	6.3	43.8	4.4	1.6	18.3	12.3	8.3	24.4	16.0	13.7	13.6	6.5	10.1	17.5
AK	405.8	121.9	7.9	38.4	5.8	1.7	15.6	10.8	9.1	14.5	16.1	10.4	14.7	6.8	12.4	19.3
AZ	376.3	111.7	5.8	30.6	4.3	2.1	16.1	9.9	7.6	25.3	15.3	8.4	11.9	5.6	13.2	18.2
AR	469.6	134.2	6.3	42.0	3.9	2.0	20.9	14.0	8.9	22.2	18.2	13.5	12.6	6.8	12.1	20.3
CA	385.6	118.6	5.5	33.7	3.3	1.8	14.3	11.8	8.8	22.4	17.7	9.9	11.3	7.1	12.6	16.1
CO	388.8	120.7	5.9	31.8	4.0	1.8	13.8	12.8	7.1	21.5	16.8	10.5	11.6	5.3	14.8	18.6
CT	465.5	135.0	6.9	35.3	4.2	2.3	15.7	13.3	7.1	20.5	21.5	12.0	14.3	8.0	17.3	24.8
DE	487.2	138.7	7.0	38.9	4.8	2.2	16.3	12.3	9.4	29.4	19.6	12.2	13.1	7.2	19.8	24.3
DC	378.3	127.2	4.9	33.4	3.9	2.3	10.6	7.1	11.8	9.7	12.6	10.1	13.0	7.9	11.4	11.2
FL	419.3	124.2	6.3	35.2	4.4	2.2	14.5	13.4	7.6	24.0	17.8	13.2	12.5	5.7	12.5	18.0
GA	468.8	138.4	6.0	41.5	4.4	2.3	17.5	13.9	8.4	25.8	18.7	12.6	13.0	6.1	12.1	17.9
HI	414.2	138.2	4.1	41.1	3.9	2.2	12.8	10.3	10.5	25.9	14.5	13.1	13.5	7.8	15.0	12.9
ID	439.2	124.3	6.4	34.3	5.0	2.2	16.0	14.7	7.6	29.8	20.2	13.6	12.9	5.0	16.0	20.4
IL	462.8	140.5	6.3	43.2	4.6	2.1	18.1	12.6	7.7	22.1	19.3	12.1	13.3	7.1	14.8	20.5
IN	443.0	130.3	6.6	41.4	5.1	2.5	19.0	13.2	7.2	21.0	17.6	12.1	13.5	5.6	11.9	19.8
IA	473.6	137.3	6.6	42.7	5.5	2.6	19.7	17.0	6.9	28.2	19.8	13.5	13.2	4.6	15.4	20.5
KS	457.3	135.6	7.2	39.5	4.7	2.4	19.3	13.4	8.3	27.5	20.4	12.1	12.0	4.9	16.5	21.0
KY	509.7	145.2	7.1	47.5	4.9	2.6	21.2	15.4	7.7	28.7	20.3	14.2	12.9	6.4	15.7	20.5
LA	473.1	143.1	5.8	45.0	4.6	2.6	21.1	14.4	10.6	16.3	18.2	12.8	13.6	6.1	14.3	18.4
ME	473.4	133.4	8.7	38.4	7.6	2.5	16.6	13.7	5.2	27.7	20.7	13.2	14.0	5.5	14.9	26.3
MD	440.9	129.8	6.2	35.3	3.9	2.6	15.7	12.3	9.2	24.1	18.0	10.8	13.7	6.9	13.7	17.9
MA	404.2	130.6	4.7	30.0	5.3	2.5	14.3	6.0	7.7	24.5	12.6	11.8	11.1	6.6	15.5	16.9
MI	436.8	126.9	6.4	36.3	5.1	2.5	16.4	13.1	6.7	20.2	18.8	11.5	12.8	5.5	12.7	22.0
MN	455.7	129.8	6.9	37.7	4.8	2.4	16.6	15.9	7.2	31.1	21.1	12.4	13.7	5.6	12.6	20.0
MS	465.8	142.6	5.8	46.5	4.9	2.5	22.0	10.8	8.0	17.7	16.2	14.4	14.2	7.0	10.4	17.1
MO	446.3	137.8	6.5	39.6	5.4	2.7	19.3	13.8	8.0	18.6	18.9	12.6	11.9	5.6	11.9	20.1
MT	456.6	122.7	7.2	36.0	4.8	2.6	16.5	15.0	5.6	27.4	17.7	11.2	12.9	5.5	12.9	23.8
NE	446.4	134.8	6.6	44.2	4.6	2.6	17.3	14.2	5.8	28.4	17.6	12.3	14.2	5.3	14.4	18.7
NV	385.0	115.5	6.5	35.6	3.9	2.6	14.5	11.5	7.3	18.2	15.5	10.2	11.7	5.5	13.1	19.7
NH	480.9	139.5	7.5	37.7	6.1	2.4	14.6	13.4	7.4	30.9	23.4	12.0	12.9	5.4	15.8	28.9
NJ	474.8	135.3	6.6	39.9	4.1	2.6	15.8	15.0	7.9	20.7	21.4	10.7	13.4	7.6	19.6	21.8
NM	359.4	111.6	5.1	33.3	3.1	2.9	14.9	12.9	9.6	15.7	14.0	8.3	11.2	4.9	14.1	13.7
NY	474.8	133.7	6.4	37.9	4.6	2.7	16.4	16.3	9.1	17.7	21.4	11.4	14.2	8.7	19.1	22.0
NC	458.4	134.2	6.3	35.8	3.9	3.1	17.2	14.4	8.1	26.2	17.4	12.4	12.7	6.7	12.0	18.8
ND	448.7	135.4	5.9	39.2	5.1	2.8	16.6	14.5	5.3	22.4	16.2	15.1	12.5	5.1	16.3	21.8
OH	456.1	135.1	7.0	40.2	5.4	3.1	17.4	11.6	7.0	26.2	18.6	11.7	12.0	6.0	15.6	21.2
OK	447.9	135.9	6.0	42.5	4.4	2.7	19.7	13.8	7.7	25.1	17.1	12.4	10.5	5.9	12.6	19.0
OR	405.3	119.4	6.8	32.0	4.8	2.9	15.0	12.7	8.4	24.3	18.1	11.8	11.7	4.7	13.5	20.0
PA	482.5	139.1	7.2	40.7	5.4	2.7	18.0	14.7	8.5	23.1	20.9	12.2	14.3	6.2	19.8	23.2
