"len","supp","dose","country"
1.7,"VC",0.5,"nor"
9.5,"VC",0.5,"fin"
5.3,"VC",0.5,"fin"
3.3,"VC",0.5,"nor"
11.4,"VC",0.5,"swe"
15,"VC",0.5,"swe"
8.7,"VC",0.5,"nor"
9.2,"VC",0.5,"fin"
10.2,"VC",0.5,"swe"
4.5,"VC",0.5,"nor"
11.5,"VC",1,"nor"
21.5,"VC",1,"swe"
20.2,"VC",1,"swe"
22.3,"VC",1,"swe"
27.5,"VC",1,"swe"
12.3,"VC",1,"nor"
8.6,"VC",1,"nor"
9.5,"VC",1,"nor"
13.8,"VC",1,"nor"
10.5,"VC",1,"nor"
13.6,"VC",2,"nor"
16.5,"VC",2,"fin"
23.9,"VC",2,"nor"
15.5,"VC",2,"nor"
24.4,"VC",2,"fin"
30.5,"VC",2,"fin"
16.7,"VC",2,"nor"
11.5,"VC",2,"nor"
28.3,"VC",2,"swe"
34.5,"VC",2,"swe"
13.2,"OJ",0.5,"fin"
19,"OJ",0.5,"nor"
15.6,"OJ",0.5,"fin"
14.7,"OJ",0.5,"swe"
12.5,"OJ",0.5,"fin"
7.5,"OJ",0.5,"nor"
6.2,"OJ",0.5,"fin"
14.4,"OJ",0.5,"swe"
21.5,"OJ",0.5,"swe"
7.2,"OJ",0.5,"nor"
24.7,"OJ",1,"swe"
28.3,"OJ",1,"swe"
21.6,"OJ",1,"fin"
31.4,"OJ",1,"swe"
15,"OJ",1,"nor"
30.2,"OJ",1,"swe"
30.8,"OJ",1,"swe"
16.2,"OJ",1,"nor"
19.5,"OJ",1,"swe"
32.3,"OJ",1,"swe"
15.5,"OJ",2,"nor"
24.4,"OJ",2,"fin"
12.4,"OJ",2,"nor"
14.5,"OJ",2,"nor"
29.8,"OJ",2,"swe"
35.9,"OJ",2,"swe"
24.4,"OJ",2,"fin"
25.3,"OJ",2,"fin"
19.4,"OJ",2,"nor"
28,"OJ",2,"swe"
19.1,"VC",1.5,"fin"
10.5,"VC",1.5,"nor"
28.8,"VC",1.5,"swe"
27.6,"VC",1.5,"swe"
24.8,"VC",1.5,"fin"
21,"VC",1.5,"fin"
20.1,"VC",1.5,"swe"
24.4,"VC",1.5,"swe"
25.8,"VC",1.5,"fin"
32.3,"VC",1.5,"swe"
24.2,"OJ",1.5,"fin"
22,"OJ",1.5,"fin"
23.5,"OJ",1.5,"fin"
21.7,"OJ",1.5,"fin"
22.1,"OJ",1.5,"fin"
29.6,"OJ",1.5,"swe"
33.6,"OJ",1.5,"swe"
16.2,"OJ",1.5,"nor"
16,"OJ",1.5,"nor"
27.8,"OJ",1.5,"swe"
